,DLSs01,DLSs02,DLSs03,DPSs202001,DPSs202002,DPSs202003,HLs202001,HLs202002,HLs202003,SLTs202001,SLTs202002,SLTs202003,SLs01,SLs02,SLs03,XSs202001,XSs202002,XsSs202003
otu10064,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
otu10065,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu10066,2,9,7,14,27,18,6,1,0,3,2,3,4,1,0,19,21,8
otu10067,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu10069,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,5,6,1
otu1007,1,2,3,0,0,0,0,0,0,0,0,0,1,215,100,0,0,0
otu10070,5,4,7,0,0,0,1,3,0,0,1,1,2,0,2,1,0,0
otu10071,2,0,0,0,0,0,0,0,0,0,1,0,0,2,4,6,2,1
otu10072,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10073,5,0,1,2,0,0,0,0,0,0,0,1,1,3,0,0,6,1
otu10074,17,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
otu10075,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
otu10076,4,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
otu10077,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10078,5,0,1,0,0,0,0,0,0,0,0,7,0,0,1,1,1,3
otu10079,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1008,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
otu10080,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
otu10081,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
otu10082,16,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0
otu10083,1,0,1,1,0,1,1,2,0,1,0,0,1,1,1,1,0,0
otu10085,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10086,4,1,2,0,0,0,1,1,0,0,2,0,2,1,0,0,4,0
otu10087,13,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
otu10088,1,0,4,2,0,2,1,1,1,1,0,0,0,0,0,3,3,2
otu10089,7,1,1,0,1,0,4,0,0,0,1,1,1,4,1,2,6,3
otu1009,0,0,0,65,243,50,1,1,0,46,3,0,0,1,0,0,58,1
otu10090,1,0,2,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0
otu10091,6,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
otu10092,1,4,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0
otu10093,1,0,2,0,0,0,0,0,0,2,0,1,6,2,10,0,0,2
otu10094,0,2,3,0,0,0,0,1,0,0,0,0,2,0,2,0,0,1
otu10095,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0
otu10096,3,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,0,1
otu10097,4,3,3,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0
otu10098,3,0,12,0,0,0,3,0,0,0,0,0,0,0,0,1,1,2
otu10099,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
otu101,1,0,0,0,0,0,3,3,48,4,0,0,1,0,0,0,0,0
otu1010,0,7,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,2
otu10100,9,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0
otu10101,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10102,5,0,2,0,0,0,0,3,3,0,0,3,0,1,3,0,0,0
otu10103,8,1,14,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0
otu10104,3,33,33,2,1,1,0,0,0,0,0,0,3,0,1,2,7,3
otu10105,3,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
otu10106,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0
otu10107,0,0,1,0,0,0,0,0,0,0,0,0,4,1,9,0,0,0
otu10108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
otu10109,1,4,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
otu1011,3,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
otu10110,13,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu10111,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10112,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10113,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10114,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10115,2,1,1,1,4,1,0,1,1,0,1,0,0,2,0,4,6,1
otu10116,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10117,4,30,143,3,5,0,10,0,0,4,8,6,10,3,4,17,24,10
otu10118,0,3,1,0,0,1,5,1,0,0,0,1,1,0,0,1,1,9
otu10119,0,10,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
otu1012,0,0,0,0,0,0,71,57,546,34,0,0,1,0,2,0,0,0
otu10120,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10121,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3
otu10122,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
otu10123,2,90,3,1,3,0,7,1,0,0,7,4,3,1,1,16,13,9
otu10124,0,3,0,0,0,1,4,4,0,0,0,0,0,1,1,1,0,1
otu10125,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10126,0,8,3,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0
otu10127,0,6,0,0,1,1,2,0,0,0,1,2,3,0,2,0,1,1
otu10128,4,1,1,2,1,3,0,0,0,0,0,1,0,2,2,1,2,3
otu10129,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,3,1
otu1013,0,1,0,1,0,3,1,1,0,2,2,4,1,0,0,3,2,6
otu10130,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10132,2,1,0,0,0,1,0,1,3,1,0,0,0,1,2,0,0,0
otu10133,29,3,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
otu10134,0,2,4,0,0,0,3,0,0,0,5,1,1,0,0,2,0,0
otu10135,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10136,0,2,1,0,0,2,0,1,0,2,2,0,1,0,0,0,0,0
otu10137,8,1,108,0,0,0,1,1,0,0,1,0,3,1,1,1,0,4
otu10138,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
otu10139,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1014,1,0,6,2,0,1,23,10,155,16,8,4,20,2,7,42,10,9
otu10140,0,0,2,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0
otu10141,1,1,3,0,0,2,0,5,0,1,0,0,0,0,1,0,0,0
otu10142,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10144,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
otu10145,3,11,3,0,0,0,0,0,0,0,1,0,0,1,2,0,7,6
otu10146,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10147,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
otu10148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10149,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
otu1015,0,0,0,3,20,4,1,20,2,0,0,0,0,0,0,6,28,24
otu10150,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1
otu10151,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10152,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0
otu10153,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
otu10154,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
otu10155,0,0,1,1,0,3,0,0,0,0,1,0,0,0,1,2,1,0
otu10156,3,0,1,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0
otu10157,5,0,1,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0
otu10158,1,0,7,0,0,0,2,0,1,0,2,0,1,0,1,1,3,1
otu10159,0,3,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu1016,6,1,4,166,112,86,4,7,1,69,6,2,30,7,6,82,45,37
otu10160,0,0,0,0,0,0,0,0,0,0,4,0,12,0,2,1,0,0
otu10161,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0
otu10162,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10164,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10167,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
otu10168,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
otu1017,0,0,0,8,1,1,2,0,5,1,17,9,0,0,0,17,4,0
otu10172,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
otu10173,0,0,0,1,0,4,1,0,0,3,0,0,0,0,0,0,0,0
otu10174,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
otu10177,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0
otu10178,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
otu1018,0,0,0,0,23,0,1,57,29,0,23,3,0,0,0,0,29,1
otu10181,0,0,0,0,0,2,0,27,1,0,0,0,2,0,1,1,1,12
otu10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
otu10188,0,0,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0
otu10189,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu1019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
otu10191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10193,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10197,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
otu10198,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,2,1,1
otu102,14,0,2,1,0,0,0,0,0,0,0,0,4,2,3,0,0,0
otu1020,1,0,0,0,0,0,46,2,0,0,61,163,69,0,0,29,41,56
otu10200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10201,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,2,0,0
otu10202,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0
otu10204,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,1,1
otu10205,2,1,2,2,2,0,5,1,1,0,1,0,7,1,6,5,7,2
otu10206,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10207,0,0,0,0,0,0,0,1,6,0,0,3,0,0,0,0,0,0
otu10208,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,0,0
otu10210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10212,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10218,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1
otu1022,3,19,9,5,6,34,24,33,1,3,25,15,15,6,10,59,38,176
otu10221,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
otu10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10225,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
otu10226,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
otu10228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
otu10229,1,3,4,0,0,0,31,30,93,35,0,0,4,9,20,3,0,0
otu1023,0,0,0,1,0,52,0,804,28,0,0,0,0,0,0,0,0,52
otu10230,0,0,0,0,0,0,13,0,1,10,1,1,0,0,0,4,6,5
otu10231,0,0,0,0,0,0,16,0,3,5,0,0,1,0,0,3,1,2
otu10232,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0
otu10233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10234,0,0,0,1,0,3,3,0,2,3,0,0,0,0,0,0,0,0
otu10235,1,0,0,0,0,0,2,2,3,0,0,0,0,0,1,0,0,1
otu10236,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0
otu10237,0,0,0,0,0,2,19,16,5,1,1,2,0,0,0,0,1,8
otu10238,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10239,0,0,0,0,0,0,7,0,0,1,2,1,0,0,0,0,4,1
otu10240,0,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,2,0
otu10241,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10242,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10243,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
otu10246,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3,2,5
otu10247,0,0,0,2,0,0,2,1,0,0,0,2,0,0,0,2,2,3
otu10248,0,0,0,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0
otu10249,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,2,0,0
otu1025,3,0,2,0,0,1,1,41,17,0,5,1,1,1,6,1,3,12
otu10250,0,0,0,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0
otu10251,0,0,0,77,31,20,0,0,0,6,0,0,1,1,0,22,7,3
otu10252,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
otu10253,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1
otu10254,0,0,0,0,0,0,2,2,3,0,4,4,0,0,0,2,1,3
otu10255,0,0,0,3,2,4,2,0,0,2,0,0,0,0,0,1,2,2
otu10256,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10257,0,0,0,1,13,3,0,0,0,2,0,0,0,0,0,0,0,0
otu10258,2,0,4,0,7,1,16,20,16,18,49,15,12,2,5,5,12,15
otu10259,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1026,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu10262,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
otu10263,0,0,0,0,0,0,4,0,0,0,14,1,0,0,0,2,2,2
otu10264,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
otu10265,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,1,1
otu10266,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1
otu10267,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,1,3
otu10268,0,0,0,0,1,1,1,0,0,2,1,2,0,0,0,3,2,2
otu10269,0,0,0,1,1,2,1,0,1,6,2,1,0,0,0,1,4,4
otu1027,1,1,1,187,396,566,6,34,0,173,8,8,8,1,4,10,100,112
otu10270,0,0,0,0,0,0,1,0,0,0,12,26,0,0,0,1,7,15
otu10271,0,0,0,5,19,8,1,1,0,1,0,0,1,0,0,0,2,1
otu10272,0,0,0,0,0,2,2,1,0,0,3,2,0,1,0,1,5,3
otu10273,0,3,0,3,21,29,0,5,0,13,0,0,0,0,0,0,2,1
otu10274,0,0,0,0,0,0,1,0,0,0,7,3,0,0,0,0,1,0
otu10275,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,1,2,0
otu10276,0,0,1,0,0,0,3,0,0,0,3,4,0,0,0,0,2,1
otu10277,0,0,0,1,13,0,0,0,0,6,0,0,0,0,0,0,3,0
otu10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10279,0,0,0,0,0,0,4,0,0,0,1,4,0,0,0,0,0,0
otu1028,4,2,2,0,0,0,1,1,0,0,0,1,2,3,2,1,0,0
otu10280,0,5,1,25,13,20,27,3,0,6,18,13,0,0,0,51,65,56
otu10281,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
otu10282,1,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
otu10283,0,0,0,0,0,0,2,0,0,0,6,2,0,1,0,1,0,1
otu10285,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
otu10286,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0
otu10287,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu1029,3,17,49,0,0,0,2,0,1,0,1,0,4,5,7,3,2,1
otu10290,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10295,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10296,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
otu10297,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,7,6
otu10298,0,0,0,5,1,0,0,0,3,1,0,0,0,0,0,0,0,1
otu10299,2,0,0,3,0,0,1,0,0,0,0,1,0,10,5,1,0,1
otu1030,0,0,0,0,0,1,58,0,0,0,53,131,0,0,0,86,67,57
otu10300,1,0,0,1,6,3,0,1,0,2,0,0,0,0,1,0,1,0
otu10301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10302,0,0,0,1,2,1,1,0,0,2,1,2,1,0,0,2,1,4
otu10303,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10304,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
otu10305,0,0,0,0,7,9,0,0,0,2,0,0,0,0,0,0,1,1
otu10306,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,4,3,4
otu10307,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0
otu10308,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,15,3
otu1031,1,0,0,0,1,0,5,9,1,1,1,0,15,4,0,1,0,7
otu10310,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
otu10311,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
otu10313,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10315,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
otu10316,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2
otu10317,0,0,0,0,0,2,0,3,1,0,1,0,0,0,0,0,0,1
otu10318,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,2,2
otu10319,0,0,0,0,2,2,0,1,0,1,1,0,0,0,2,0,1,2
otu1032,0,0,1,0,0,0,29,3,1,0,50,194,1,22,5,32,51,51
otu10320,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
otu10322,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
otu10325,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
otu1033,52,1,9,0,0,0,26,17,109,9,0,0,58,60,81,0,0,0
otu10330,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu10336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10339,0,0,0,2,0,0,0,4,2,0,1,1,0,0,0,0,0,0
otu1034,1,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,2
otu10344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0
otu10347,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
otu10349,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
otu1035,22,184,42,2,0,1,1,1,0,0,1,0,63,44,20,9,12,7
otu10350,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
otu10351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10352,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,1,3
otu10354,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10355,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,1
otu10356,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
otu10357,0,0,0,1,0,0,0,0,0,2,1,4,0,0,0,0,0,0
otu1036,0,0,3,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0
otu10360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
otu10361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
otu10362,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3
otu10364,0,0,0,0,0,0,0,9,3,0,1,0,0,0,0,2,2,0
otu10365,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
otu10366,0,0,0,0,0,0,4,0,0,0,11,3,0,0,0,1,2,2
otu10367,0,0,0,0,0,0,7,0,0,0,9,4,0,0,0,0,1,1
otu10368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu10369,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu10370,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0
otu10371,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10372,0,0,0,0,0,1,0,7,0,0,10,0,0,0,0,1,0,2
otu10373,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1
otu10374,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10375,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
otu10377,2,0,0,0,0,0,0,0,0,1,2,2,2,2,1,1,0,1
otu10379,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,5,0
otu1038,0,0,0,0,75,0,26,0,1,0,31,10,0,0,0,32,259,40
otu10380,0,0,0,1,0,0,4,1,0,2,4,5,0,0,1,11,2,9
otu10382,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,2,1
otu10384,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
otu10385,1,0,0,2,2,14,99,86,28,22,25,21,2,1,0,16,28,43
otu10386,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0
otu10387,0,0,0,0,0,0,2,1,0,0,7,4,0,0,0,1,1,1
otu10388,0,0,0,1,0,0,7,0,0,0,7,9,0,0,0,9,7,6
otu10389,0,0,0,0,0,0,9,18,1,0,0,0,0,0,0,0,0,1
otu1039,12,69,694,0,1,0,0,0,0,0,0,0,13,5,12,0,0,0
otu10390,0,0,0,0,17,0,24,0,0,0,0,0,0,0,0,1,0,0
otu10391,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0
otu10392,0,0,0,0,0,0,2,0,0,0,6,3,0,0,0,1,2,1
otu10393,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,3,10
otu10394,0,0,0,0,0,0,5,0,0,0,17,4,0,0,0,1,4,8
otu10395,0,0,0,0,0,6,0,19,4,0,0,0,1,0,1,0,0,5
otu10396,0,0,0,0,0,0,4,2,2,0,1,5,0,0,0,0,2,0
otu10397,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0
otu10398,0,0,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0
otu10399,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
