,DLSs01,DLSs02,DLSs03,DPSs01,DPSs02,DPSs03,HLs01,HLs02,HLs03,SLTs01,SLTs02,SLTs03,SLs01,SLs02,SLs03,XSs01,XSs02,XSs03
otu10062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10063,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
otu10064,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10065,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10066,1,0,1,0,0,0,0,0,1,0,0,0,3,1,3,0,0,0
otu10067,1,11,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10068,4,0,0,0,0,0,0,0,0,0,0,0,4,7,8,0,0,0
otu10069,0,18,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0
otu1007,0,1,0,0,4,0,0,0,0,0,1,0,18,0,0,0,2,0
otu10070,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10071,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
otu10072,0,5,8,0,0,0,0,0,2,0,0,0,1,0,0,9,2,0
otu10073,0,0,1,0,0,0,2,13,3,0,1,0,0,0,0,1,1,0
otu10074,0,0,2,0,0,0,1,2,9,0,0,2,0,0,0,1,5,1
otu10075,1,0,1,0,0,0,0,0,0,0,0,0,13,2,1,0,0,0
otu10077,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
otu10078,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
otu10079,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
otu1008,0,0,0,0,0,0,482,55,83,44,0,7,0,0,0,90,100,80
otu10080,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
otu10081,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
otu10082,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4
otu10083,0,0,0,0,0,0,10,2,11,0,0,0,0,0,0,0,1,0
otu10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10087,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10088,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu10089,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0
otu1009,0,3,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1
otu10090,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10093,6,0,0,0,3,0,0,0,0,0,0,0,4,0,5,0,0,0
otu10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
otu10097,1,2,1,0,0,4,0,1,0,1,3,1,1,2,2,3,1,0
otu101,56,1,97,21,35,0,0,0,0,0,0,0,85,0,2,0,0,0
otu1010,3,140,27,4,4,0,12,14,8,0,0,0,1,0,0,109,17,19
otu10100,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,1,1,0
otu10101,5,0,2,0,0,0,0,2,1,0,0,0,0,1,4,1,0,1
otu10103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10104,2,0,0,0,0,0,7,1,0,0,0,0,1,17,7,0,0,1
otu10106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
otu10107,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0
otu10109,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1011,0,1,1,19,6,1,4,1,0,1,0,0,0,0,0,0,4,0
otu10112,0,0,1,4,1,0,0,1,0,0,1,0,0,0,1,1,0,0
otu10113,1,0,2,1,2,0,0,0,0,0,0,0,5,1,1,0,0,0
otu10116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10118,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10119,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,7,2,1
otu1012,5,0,0,0,0,1,2,6,1,5,3,3,5,0,1,0,0,1
otu10120,10,0,1,0,0,0,0,0,0,0,0,0,1,3,11,0,0,0
otu10121,17,2,5,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
otu10122,24,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0
otu10123,8,0,1,3,1,0,0,1,0,0,0,0,2,0,6,0,1,0
otu10124,1,1,7,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10125,3,0,0,1,8,1,0,0,0,0,0,0,8,6,3,0,0,0
otu10126,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,1,0
otu10127,5,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0
otu10128,3,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,1,0
otu10129,0,0,1,0,4,0,0,0,0,0,0,0,0,18,1,0,0,0
otu1013,45,3,16,0,1,0,0,0,2,2,3,1,15,13,87,4,4,0
otu10130,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10131,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0
otu10132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10133,0,0,0,0,0,0,10,2,3,1,0,0,0,0,0,2,1,2
otu10135,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1
otu10136,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
otu10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
otu10138,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,2,6,2
otu10139,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
otu1014,0,0,2,1,4,3,1,0,0,1,1,0,0,1,0,3,4,1
otu10141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10147,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
otu10148,0,0,1,1,2,0,1,0,0,0,0,0,3,2,2,1,0,0
otu10149,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,16,0
otu1015,9,2,10,64,0,3,1,0,4,0,0,0,2,0,6,0,5,0
otu10150,0,0,0,1,2,0,4,1,0,0,0,0,0,2,3,1,1,0
otu10151,0,0,2,9,5,0,1,0,0,0,0,0,0,0,0,1,1,0
otu10153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10154,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu10155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10156,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu10157,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
otu10159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
otu1016,2,2,3,1,0,0,4,0,2,0,0,0,6,4,0,1,1,3
otu10160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu10161,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
otu10162,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10166,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu1017,9,3,1,7,1,34,10,4,1,19,16,27,8,7,3,103,12,33
otu10170,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10171,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0
otu10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10175,2,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
otu10176,0,0,0,0,0,0,1,1,5,0,0,1,0,0,0,7,2,3
otu10177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10178,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1
otu10179,0,1,1,0,0,0,2,1,1,1,0,1,0,0,0,1,0,0
otu1018,3,0,0,11,5,0,0,0,0,0,0,0,656,11,8,0,0,0
otu10180,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0
otu10181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
otu10182,21,1,2,0,0,0,0,0,0,0,0,0,20,7,3,0,0,0
otu10183,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
otu10184,5,0,2,0,0,0,1,0,5,0,0,0,3,7,3,0,0,1
otu10185,3,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0
otu10186,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,0
otu10187,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0
otu10188,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
otu10189,3,0,0,1,0,0,0,0,0,0,0,0,0,10,15,0,0,0
otu1019,0,0,9,1,0,0,4,5,3,0,1,0,12,1,1,3,19,1
otu10191,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10192,0,0,2,3,11,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
otu10196,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
otu10197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10198,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
otu102,44,0,23,1,2,11,49,7,7,19,12,7,31,44,71,23,5,6
otu1020,0,0,1,2,10,0,0,0,0,0,0,0,30,1167,52,1,0,0
otu10202,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
otu10203,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,2
otu10204,0,0,0,0,3,0,0,3,0,0,1,0,8,13,1,0,1,0
otu10206,0,0,0,0,0,0,0,1,12,0,0,1,0,0,0,1,1,1
otu10207,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0
otu10209,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0
otu1021,2,2,4,2,0,0,0,1,1,0,0,1,1,4,0,0,2,0
otu10210,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10211,0,0,0,0,4,0,0,0,0,0,0,0,15,0,1,0,0,0
otu10212,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,2
otu10213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,2,0
otu10214,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu10218,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
otu1022,2,2,5,2,27,1,10,2,6,0,0,0,13,7,3,31,21,19
otu10220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10224,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
otu1023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10230,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
otu10232,6,2,5,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1
otu10233,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10236,6,3,0,10,0,0,2,1,0,0,0,0,2,0,0,1,2,3
otu10237,1,0,0,0,1,0,1,1,3,0,0,0,0,0,0,2,4,5
otu10239,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,2,0,1
otu1024,0,0,0,0,0,31,14,9,6,30,30,11,0,0,0,7,0,6
otu10240,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,9
otu10241,5,1,4,2,0,0,1,1,0,0,0,0,1,3,17,0,1,0
otu10242,1,2,24,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
otu10244,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,0,0,0
otu10245,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10247,11,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0
otu10249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1025,414,154,212,24,6,1,0,3,3,0,0,1,19,3,6,30,10,7
otu10250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10251,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
otu10252,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,3
otu10253,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,4,3
otu10254,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0
otu10255,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
otu10256,0,0,0,0,0,0,0,0,2,0,0,2,8,1,0,1,0,0
otu10257,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu10258,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0
otu10259,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1
otu1026,2,12,23,4,3,1,19,6,24,1,0,5,26,1,7,11,7,16
otu10260,1,1,1,0,1,0,0,4,2,0,0,0,1,0,0,2,0,0
otu10262,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0
otu10263,0,1,0,0,1,0,0,0,0,0,0,0,2,1,7,0,1,0
otu10264,0,0,0,4,0,0,2,2,1,0,0,0,0,0,0,1,0,6
otu10265,0,0,1,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10268,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,6,1,1
otu1027,14,16,17,5,12,3,10,2,5,1,2,5,13,8,9,19,16,5
otu10273,0,0,0,0,0,0,2,3,2,0,0,0,0,1,0,1,0,0
otu10276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1028,30,24,16,8,41,1,12,9,26,1,2,6,8,14,18,38,36,23
otu10281,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
otu10286,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10287,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
otu10288,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,0
otu10289,0,0,0,0,0,0,5,2,1,1,0,0,1,0,1,1,1,1
otu1029,22,54,29,1,9,5,6,6,2,4,2,7,8,18,7,48,25,6
otu10290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu10292,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10293,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu10294,0,0,2,0,0,0,0,0,1,0,1,0,0,3,7,1,1,0
otu10295,24,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
otu10296,4,13,11,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0
otu10297,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0
otu10298,0,1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10299,1,0,1,0,1,0,0,0,0,0,0,0,9,2,2,0,0,0
otu103,128,184,447,7504,2895,0,2,4,3,1,1,0,106,64,55,9,2,5
otu1030,1,115,8,4,1,0,3,10,1,0,0,0,0,0,0,2,6,2
otu10300,0,0,0,0,0,0,4,0,5,0,0,0,1,0,1,1,0,0
otu10301,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10302,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
otu10303,0,0,0,0,0,0,2,7,2,1,0,1,0,0,0,1,0,2
otu10304,0,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,1,5
otu10305,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0
otu10306,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
otu10307,0,0,0,0,0,0,3,16,1,0,0,0,0,1,0,0,0,0
otu10308,0,0,0,0,0,0,1,10,3,0,1,0,0,0,0,0,0,1
otu1031,0,0,0,0,0,51,7,3,0,10,10,5,1,0,0,7,1,12
otu10310,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10312,5,0,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0
otu10313,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,1,4,9
otu10314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10316,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
otu10318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
otu10319,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
otu1032,0,0,0,0,0,0,11,2,0,9,0,0,2,0,0,38,0,0
otu10320,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
otu10322,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10323,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,6,3
otu10326,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10327,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10334,1,0,1,0,1,0,0,1,0,0,0,0,2,0,2,1,3,0
otu10336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
otu1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
otu10341,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10343,0,0,0,0,0,0,3,1,9,0,0,1,0,0,0,0,0,2
otu10344,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
otu10345,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10347,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0
otu10349,0,0,31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10350,3,0,0,0,1,0,0,1,0,0,0,0,2,0,4,0,0,0
otu10351,3,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0
otu10353,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10355,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0
otu10356,0,0,0,0,0,0,9,2,1,3,0,0,0,0,0,2,1,6
otu10357,0,0,0,0,0,0,14,1,0,2,0,0,0,0,0,2,1,0
otu10358,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu10359,0,0,0,0,0,0,7,5,3,3,0,0,0,1,0,3,3,2
otu1036,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
otu10360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10361,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0
otu10362,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,3,0,1
otu10364,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
otu10367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
otu10368,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0
otu1037,0,0,0,0,0,38,12,8,10,30,5,9,0,0,0,8,7,19
otu10372,0,1,0,0,0,0,1,0,1,1,1,0,0,3,2,2,0,0
otu10373,0,0,0,0,0,0,5,0,0,0,0,0,4,0,1,1,2,0
otu10374,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33
otu10375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu10376,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0
otu10379,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu1038,2,0,3,3,1,6,0,0,1,0,2,0,5,0,1,0,1,0
otu10382,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu10383,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu10384,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
otu10385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1039,75,286,308,8,224,7,0,0,0,0,1,0,14,81,5,3,0,0
otu10390,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu10391,0,1,0,6,2,0,0,4,0,0,0,0,0,0,0,1,0,1
otu10392,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
otu10393,1,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu10394,0,0,0,2,0,0,1,0,0,0,0,0,2,3,2,0,0,0
otu10395,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10396,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,6,6,2
otu10399,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu104,48,133,99,36,17,12,24,74,20,3,5,4,48,11,11,136,88,94
otu1040,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10401,1,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0
otu10402,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
otu10403,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
otu10404,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10405,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0
otu10409,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1041,0,0,0,0,0,79,2,0,0,7,6,7,2,0,0,9,0,14
otu10410,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
otu10411,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
otu10413,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
otu10414,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1
otu10416,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
otu1042,8,2,6,6,0,3,0,2,0,8,3,4,0,8,0,0,5,0
otu10421,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu10423,1,4,5,2,0,0,0,2,0,0,0,0,2,0,1,1,3,1
otu10424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
otu10425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu10428,0,0,0,0,2,0,0,0,0,0,0,0,1,17,10,0,0,0
otu10429,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,7
otu1043,1,0,8,0,3,3,2,0,1,0,0,1,0,1,0,1,0,4
otu10430,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu10431,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,2,6
otu10432,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
